01-12-2018 00:47:29:742 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 173] TSAE session
01-12-2018 00:47:30:070 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 174] TSAE session
01-12-2018 00:47:30:353 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 175] TSAE session
01-12-2018 00:47:30:647 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 176] TSAE session
01-12-2018 00:47:30:650 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 177] TSAE session
01-12-2018 00:47:31:039 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 178] TSAE session
01-12-2018 00:47:31:333 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 179] TSAE session
01-12-2018 00:47:31:579 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 180] TSAE session
01-12-2018 00:47:31:860 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 181] TSAE session
01-12-2018 00:47:32:220 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 182] TSAE session
01-12-2018 00:47:49:325 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 183] TSAE session
01-12-2018 00:47:49:577 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 184] TSAE session
01-12-2018 00:47:49:931 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 185] TSAE session
01-12-2018 00:47:50:358 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 186] TSAE session
01-12-2018 00:47:50:360 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 187] TSAE session
01-12-2018 00:47:50:614 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 188] TSAE session
01-12-2018 00:47:51:037 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 189] TSAE session
01-12-2018 00:47:51:039 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 190] TSAE session
01-12-2018 00:47:51:461 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 191] TSAE session
01-12-2018 00:47:51:747 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 192] TSAE session
01-12-2018 00:47:51:751 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 193] TSAE session
01-12-2018 00:47:52:212 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 194] TSAE session
01-12-2018 00:47:52:540 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 195] TSAE session
01-12-2018 00:47:52:901 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 196] TSAE session
01-12-2018 00:48:09:325 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 197] TSAE session
01-12-2018 00:48:09:539 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 198] TSAE session
01-12-2018 00:48:09:813 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 199] TSAE session
01-12-2018 00:48:09:815 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 200] TSAE session
01-12-2018 00:48:09:821 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 201] TSAE session
01-12-2018 00:48:10:232 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 202] TSAE session
01-12-2018 00:48:10:626 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 203] TSAE session
01-12-2018 00:48:10:971 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 204] TSAE session
01-12-2018 00:48:10:973 groupXX@192.168.1.141:35011 [INFO] : Server groupXX@192.168.1.141:35011 finishes Activity Simulation
