01-12-2018 00:47:12:157 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 167] TSAE session
01-12-2018 00:47:12:282 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 168] TSAE session
01-12-2018 00:47:29:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 169] TSAE session
01-12-2018 00:47:29:573 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 170] TSAE session
01-12-2018 00:47:29:929 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 171] TSAE session
01-12-2018 00:47:30:168 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 172] TSAE session
01-12-2018 00:47:30:229 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 173] TSAE session
01-12-2018 00:47:30:768 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 174] TSAE session
01-12-2018 00:47:31:093 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 175] TSAE session
01-12-2018 00:47:31:101 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 176] TSAE session
01-12-2018 00:47:31:316 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 177] TSAE session
01-12-2018 00:47:31:317 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 178] TSAE session
01-12-2018 00:47:31:640 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 179] TSAE session
01-12-2018 00:47:31:642 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 180] TSAE session
01-12-2018 00:47:31:928 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 181] TSAE session
01-12-2018 00:47:32:349 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 182] TSAE session
01-12-2018 00:47:49:479 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 183] TSAE session
01-12-2018 00:47:49:618 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 184] TSAE session
01-12-2018 00:47:49:719 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 185] TSAE session
01-12-2018 00:47:50:017 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 186] TSAE session
01-12-2018 00:47:50:470 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 187] TSAE session
01-12-2018 00:47:50:899 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 188] TSAE session
01-12-2018 00:47:50:988 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 189] TSAE session
01-12-2018 00:47:51:461 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 190] TSAE session
01-12-2018 00:47:52:004 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 191] TSAE session
01-12-2018 00:47:52:009 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 192] TSAE session
01-12-2018 00:47:52:351 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 193] TSAE session
01-12-2018 00:47:52:387 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 194] TSAE session
01-12-2018 00:47:52:674 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 195] TSAE session
01-12-2018 00:47:53:031 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 196] TSAE session
01-12-2018 00:48:09:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 197] TSAE session
01-12-2018 00:48:09:656 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 198] TSAE session
01-12-2018 00:48:10:035 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 199] TSAE session
01-12-2018 00:48:10:039 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 200] TSAE session
01-12-2018 00:48:10:339 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 201] TSAE session
01-12-2018 00:48:10:735 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 202] TSAE session
01-12-2018 00:48:11:088 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 203] TSAE session
01-12-2018 00:48:11:517 groupXX@192.168.1.141:35005 [INFO] : Server groupXX@192.168.1.141:35005 finishes Activity Simulation
